一级类,类别名称,总册数,题名数,均价,中位价,出版时差中位数
I,文学,29155,9052,72.29,58.0,1.0
F,经济,17225,7921,81.65,75.0,1.0
T,工业技术,14351,7404,88.84,79.8,1.0
D,政治、法律,14108,5878,85.08,78.0,1.0
K,历史、地理,12268,4974,119.18,78.0,2.0
B,哲学、宗教,11717,4353,73.41,66.0,1.0
G,文化、科学、教育、体育,11033,4732,80.57,68.0,1.0
J,艺术,6550,3030,113.31,79.0,1.0
C,社会科学总论,5366,2047,89.28,69.0,1.0
H,语言、文字,5083,1993,76.04,68.0,1.0
R,医药、卫生,3002,1408,84.77,69.0,1.0
O,数理科学和化学,2581,1288,76.12,68.0,1.0
X,环境科学、安全科学,2186,1119,90.51,80.0,1.0
Q,生物科学,1931,952,98.77,75.0,1.0
A,马克思主义、列宁主义、毛泽东思想、邓小平理论,1755,574,87.48,78.0,1.0
P,天文学、地球科学,1228,625,96.26,79.0,1.0
Z,综合性图书,1199,228,380.66,198.0,2.0
N,自然科学总论,711,324,109.46,88.0,1.0
S,农业科学,523,285,104.98,79.0,1.0
E,军事,375,167,86.14,79.0,1.0
U,交通运输,341,183,97.89,88.0,1.0
V,航空、航天,159,83,98.11,88.0,1.0
